iter	Passed	Remaining
0	152	76261
1	221	55162
2	280	46550
3	301	37416
4	369	36606
5	450	37051
6	512	36108
7	573	35247
8	632	34512
9	695	34079
10	753	33503
11	811	33020
12	864	32398
13	932	32358
14	1009	32631
15	1068	32326
16	1135	32267
17	1156	30968
18	1164	29475
19	1225	29410
20	1237	28226
21	1301	28281
22	1376	28542
23	1447	28712
24	1459	27728
25	1534	27973
26	1622	28415
27	1682	28354
28	1742	28303
29	1775	27817
30	1836	27785
31	1899	27780
32	1962	27768
33	2037	27932
34	2118	28139
35	2175	28038
36	2233	27952
37	2290	27846
38	2349	27776
39	2409	27711
40	2475	27708
41	2541	27710
42	2608	27718
43	2676	27742
44	2748	27786
45	2810	27735
46	2873	27695
47	2938	27674
48	2998	27600
49	3061	27551
50	3131	27573
51	3207	27635
52	3268	27570
53	3292	27189
54	3305	26741
55	3385	26839
56	3441	26743
57	3505	26711
58	3576	26730
59	3641	26704
60	3712	26714
61	3789	26772
62	3869	26842
63	3950	26911
64	4029	26969
65	4103	26980
66	4175	26982
67	4261	27070
68	4339	27103
69	4410	27093
70	4479	27069
71	4552	27060
72	4562	26686
73	4636	26692
74	4713	26710
75	4788	26714
76	4855	26673
77	4923	26639
78	5004	26670
79	5072	26633
80	5142	26601
81	5216	26590
82	5277	26516
83	5349	26493
84	5433	26526
85	5505	26504
86	5518	26199
87	5598	26209
88	5684	26251
89	5765	26263
90	5861	26346
91	5939	26341
92	5957	26070
93	6028	26039
94	6097	25993
95	6178	26001
96	6244	25943
97	6305	25864
98	6378	25837
99	6435	25742
100	6500	25680
101	6587	25705
102	6658	25664
103	6671	25402
104	6756	25415
105	6831	25391
106	6910	25380
107	6986	25357
108	7072	25368
109	7160	25387
110	7222	25310
111	7293	25267
112	7365	25225
113	7427	25148
114	7485	25059
115	7556	25016
116	7621	24950
117	7684	24875
118	7764	24859
119	7832	24803
120	7894	24726
121	7949	24631
122	8019	24579
123	8090	24533
124	8164	24494
125	8252	24494
126	8334	24478
127	8394	24395
128	8463	24340
129	8525	24265
130	8587	24190
131	8643	24097
132	8708	24031
133	8775	23968
134	8840	23900
135	8909	23845
136	8984	23806
137	9064	23777
138	9133	23721
139	9205	23672
140	9269	23600
141	9333	23529
142	9394	23453
143	9456	23378
144	9519	23306
145	9581	23232
146	9640	23150
147	9746	23181
148	9836	23171
149	9900	23101
150	9965	23032
151	10023	22948
152	10083	22869
153	10147	22798
154	10214	22736
155	10271	22650
156	10332	22573
157	10390	22489
158	10454	22421
159	10521	22358
160	10590	22298
161	10663	22247
162	10677	22075
163	10758	22042
164	10826	21981
165	10884	21900
166	10945	21824
167	11000	21739
168	11012	21569
169	11075	21499
170	11139	21432
171	11203	21365
172	11276	21313
173	11343	21252
174	11405	21182
175	11482	21138
176	11570	21114
177	11636	21050
178	11701	20985
179	11763	20913
180	11832	20854
181	11891	20777
182	11953	20705
183	12023	20648
184	12089	20585
185	12152	20516
186	12212	20440
187	12274	20371
188	12335	20298
189	12397	20227
190	12458	20155
191	12520	20085
192	12589	20026
193	12657	19964
194	12721	19897
195	12775	19815
196	12838	19745
197	12897	19671
198	12963	19607
199	13029	19543
200	13098	19484
201	13159	19413
202	13220	19342
203	13278	19266
204	13355	19218
205	13421	19154
206	13484	19086
207	13553	19026
208	13627	18974
209	13692	18909
210	13752	18835
211	13758	18690
212	13822	18624
213	13878	18547
214	13937	18474
215	13996	18402
216	14061	18337
217	14120	18265
218	14178	18193
219	14243	18128
220	14313	18069
221	14377	18003
222	14438	17935
223	14510	17879
224	14576	17815
225	14595	17695
226	14656	17626
227	14716	17556
228	14791	17504
229	14859	17444
230	14922	17377
231	14997	17325
232	15085	17286
233	15166	17240
234	15240	17185
235	15320	17138
236	15403	17093
237	15485	17047
238	15575	17009
239	15666	16972
240	15763	16941
241	15849	16897
242	15960	16879
243	16038	16827
244	16110	16767
245	16117	16641
246	16187	16580
247	16249	16511
248	16310	16441
249	16385	16385
250	16451	16320
251	16513	16251
252	16583	16190
253	16656	16132
254	16738	16082
255	16805	16017
256	16879	15960
257	16947	15896
258	17009	15827
259	17076	15762
260	17166	15719
261	17230	15652
262	17295	15585
263	17358	15517
264	17422	15450
265	17486	15383
266	17563	15326
267	17634	15265
268	17704	15203
269	17768	15135
270	17832	15068
271	17889	14995
272	17951	14926
273	18014	14858
274	18089	14800
275	18150	14731
276	18222	14669
277	18282	14600
278	18338	14526
279	18410	14465
280	18468	14393
281	18529	14323
282	18590	14254
