iter	Passed	Remaining
0	58	58127
1	97	48868
2	143	47654
3	189	47229
4	229	45643
5	270	44803
6	292	41493
7	333	41299
8	372	41029
9	410	40667
10	421	37920
11	460	37901
12	498	37852
13	538	37920
14	558	36685
15	579	35609
16	616	35628
17	662	36155
18	701	36217
19	739	36250
20	761	35480
21	799	35536
22	838	35630
23	884	35951
24	932	36353
25	971	36376
26	1008	36328
27	1046	36337
28	1084	36316
29	1126	36438
30	1164	36414
31	1203	36394
32	1241	36383
33	1282	36426
34	1320	36397
35	1361	36454
36	1398	36402
37	1440	36473
38	1479	36453
39	1521	36520
40	1558	36461
41	1597	36435
42	1635	36404
43	1674	36388
44	1713	36355
45	1752	36341
46	1791	36324
47	1830	36297
48	1870	36300
49	1909	36287
50	1948	36264
51	1986	36223
52	2027	36221
53	2065	36188
54	2104	36166
55	2142	36114
56	2180	36073
57	2217	36013
58	2254	35962
59	2297	35987
60	2326	35818
61	2366	35808
62	2383	35454
63	2423	35450
64	2461	35403
65	2499	35373
66	2539	35363
67	2578	35339
68	2616	35302
69	2654	35269
70	2692	35227
71	2730	35194
72	2771	35194
73	2810	35165
74	2849	35143
75	2887	35107
76	2925	35070
77	2965	35053
78	3005	35042
79	3042	34993
80	3081	34957
81	3118	34917
82	3159	34902
83	3197	34862
84	3235	34828
85	3274	34805
86	3311	34756
87	3341	34631
88	3379	34595
89	3417	34555
90	3458	34544
91	3504	34586
92	3545	34573
93	3583	34541
94	3623	34515
95	3661	34476
96	3699	34435
97	3729	34329
98	3767	34285
99	3806	34255
100	3844	34217
101	3882	34180
102	3923	34166
103	3962	34134
104	3999	34089
105	4041	34082
106	4084	34088
107	4125	34071
108	4165	34050
109	4204	34018
110	4246	34013
111	4287	33992
112	4325	33956
113	4364	33922
114	4403	33887
115	4444	33870
116	4483	33836
117	4525	33823
118	4562	33776
119	4601	33747
120	4640	33707
121	4679	33676
122	4721	33662
123	4767	33681
124	4808	33661
125	4849	33640
126	4891	33625
127	4932	33604
128	4972	33572
129	5012	33544
130	5054	33527
131	5095	33503
132	5137	33493
133	5179	33475
134	5225	33484
135	5267	33463
136	5306	33427
137	5343	33379
138	5381	33335
139	5421	33302
140	5464	33288
141	5503	33250
142	5546	33237
143	5584	33197
144	5622	33152
145	5661	33117
146	5699	33072
147	5738	33036
148	5778	33001
149	5817	32968
150	5855	32921
151	5894	32883
152	5935	32860
153	5983	32869
154	6031	32879
155	6078	32886
156	6118	32854
157	6158	32819
158	6196	32775
159	6238	32750
160	6281	32732
161	6320	32694
162	6358	32650
163	6397	32613
164	6436	32572
165	6477	32545
166	6520	32525
167	6562	32499
168	6608	32493
169	6653	32485
170	6693	32447
171	6729	32397
172	6771	32369
173	6817	32365
174	6865	32368
175	6908	32343
176	6951	32323
177	6994	32300
178	7033	32259
179	7071	32216
180	7110	32173
181	7147	32126
182	7186	32085
183	7227	32054
184	7266	32010
185	7304	31966
186	7343	31925
187	7381	31883
188	7423	31855
189	7466	31829
190	7507	31799
191	7554	31793
192	7594	31754
193	7637	31729
194	7677	31695
195	7692	31553
196	7731	31514
197	7773	31484
198	7815	31458
199	7854	31418
200	7892	31373
201	7929	31327
202	7969	31288
203	8009	31251
204	8048	31213
205	8087	31173
206	8126	31133
207	8167	31101
208	8206	31060
209	8245	31019
210	8286	30985
211	8326	30948
212	8366	30911
213	8404	30867
214	8444	30831
215	8481	30785
216	8524	30760
217	8581	30782
218	8621	30746
219	8668	30735
220	8721	30742
221	8766	30721
222	8816	30720
223	8866	30715
224	8906	30676
225	8950	30654
226	8996	30635
227	9043	30620
228	9081	30574
229	9119	30529
230	9157	30486
231	9196	30442
232	9234	30398
233	9273	30357
234	9313	30319
235	9353	30279
236	9396	30251
237	9436	30211
238	9475	30169
239	9516	30135
240	9556	30096
241	9597	30061
242	9634	30015
243	9673	29972
244	9712	29931
245	9749	29883
246	9799	29873
247	9839	29836
248	9883	29808
249	9930	29790
250	9975	29766
251	10016	29731
252	10058	29699
253	10103	29673
254	10120	29569
255	10172	29563
256	10221	29549
257	10267	29529
258	10314	29509
259	10360	29488
260	10398	29442
261	10439	29404
262	10478	29362
263	10518	29323
264	10555	29277
265	10593	29230
266	10630	29183
267	10671	29148
268	10720	29131
269	10765	29105
270	10806	29070
271	10859	29064
272	10898	29023
273	10936	28976
274	10973	28931
275	11010	28883
276	11050	28843
277	11088	28798
278	11125	28750
279	11166	28713
280	11210	28685
281	11255	28658
282	11299	28627
283	11336	28581
284	11376	28541
285	11414	28496
286	11460	28472
287	11502	28436
288	11549	28414
289	11590	28377
290	11630	28336
291	11674	28306
292	11712	28262
293	11759	28238
294	11802	28204
295	11849	28182
296	11894	28154
297	11941	28129
298	11979	28085
299	12019	28045
300	12061	28009
301	12101	27969
302	12139	27925
303	12178	27882
304	12215	27836
305	12257	27799
306	12303	27773
307	12343	27731
308	12387	27701
309	12432	27672
310	12479	27648
311	12521	27612
312	12565	27580
313	12603	27534
314	12643	27495
315	12687	27462
316	12732	27433
317	12773	27394
318	12813	27353
319	12851	27308
320	12892	27271
321	12934	27234
322	12975	27196
323	13014	27154
324	13053	27111
325	13091	27065
326	13130	27023
327	13170	26982
328	13210	26942
329	13253	26908
330	13293	26868
331	13335	26830
332	13373	26786
333	13413	26747
334	13451	26701
335	13490	26659
336	13533	26625
337	13572	26582
338	13610	26538
339	13646	26490
340	13688	26453
341	13732	26420
342	13772	26381
343	13813	26341
344	13852	26300
345	13895	26265
346	13935	26224
347	13973	26180
348	14015	26144
349	14061	26114
350	14099	26070
351	14138	26027
352	14176	25982
353	14216	25943
354	14254	25899
355	14294	25858
356	14332	25814
357	14370	25770
358	14408	25726
359	14445	25680
360	14484	25638
361	14520	25592
362	14562	25555
363	14600	25510
364	14638	25466
365	14675	25421
366	14714	25379
367	14736	25308
368	14776	25268
369	14819	25232
370	14857	25189
371	14896	25148
372	14934	25104
373	14972	25060
374	15009	25015
375	15048	24974
376	15086	24929
377	15122	24884
378	15161	24841
379	15200	24800
380	15241	24763
381	15285	24728
382	15328	24694
383	15371	24657
384	15420	24632
385	15459	24590
386	15499	24550
387	15537	24508
388	15574	24462
389	15612	24420
390	15652	24379
391	15691	24337
392	15728	24293
393	15767	24252
394	15805	24209
395	15842	24164
396	15883	24124
397	15922	24084
398	15964	24047
399	16004	24006
400	16046	23969
401	16086	23929
402	16125	23887
403	16168	23853
404	16206	23810
405	16250	23774
406	16290	23735
407	16328	23692
408	16365	23647
409	16402	23604
410	16443	23564
411	16483	23525
412	16532	23497
413	16569	23453
414	16613	23418
415	16653	23379
416	16691	23336
417	16728	23292
418	16766	23248
419	16804	23206
420	16844	23165
421	16886	23129
422	16923	23084
423	16962	23042
424	17001	23001
425	17013	22924
426	17053	22883
427	17091	22841
428	17130	22800
429	17169	22758
430	17206	22716
431	17244	22673
432	17286	22635
433	17324	22593
434	17363	22552
435	17402	22511
436	17439	22467
437	17477	22425
438	17514	22382
439	17557	22346
440	17596	22304
441	17636	22264
442	17676	22225
443	17715	22184
444	17754	22143
445	17796	22106
446	17835	22064
447	17876	22026
448	17915	21985
449	17967	21960
450	17981	21888
451	18023	21851
452	18066	21815
453	18103	21772
454	18145	21734
455	18184	21693
456	18224	21653
457	18267	21617
458	18306	21577
459	18346	21536
460	18384	21495
461	18422	21453
462	18462	21412
463	18501	21372
464	18542	21334
465	18583	21295
466	18625	21258
467	18668	21221
468	18707	21180
469	18745	21138
470	18784	21097
471	18827	21061
472	18872	21026
473	18909	20984
474	18946	20941
475	18986	20901
476	19027	20862
477	19066	20822
478	19106	20781
479	19145	20740
480	19182	20698
481	19223	20659
482	19262	20618
483	19301	20577
484	19338	20535
485	19377	20493
486	19415	20452
487	19454	20411
488	19492	20369
489	19530	20327
490	19573	20291
491	19612	20250
492	19650	20208
493	19700	20178
494	19743	20142
495	19782	20101
496	19824	20063
497	19861	20021
498	19903	19983
499	19946	19946
500	19991	19911
501	20038	19879
502	20086	19846
503	20137	19817
504	20179	19780
505	20227	19747
506	20272	19712
507	20322	19682
508	20365	19645
509	20416	19616
510	20461	19580
511	20505	19543
512	20549	19508
513	20593	19471
514	20632	19430
515	20674	19391
516	20715	19353
517	20757	19315
518	20796	19273
519	20834	19231
520	20871	19188
521	20909	19147
522	20949	19107
523	20986	19064
524	21027	19024
525	21065	18982
526	21102	18940
527	21140	18898
528	21177	18855
529	21215	18813
530	21253	18771
531	21293	18732
532	21334	18692
533	21372	18651
534	21410	18608
535	21451	18569
536	21492	18531
537	21538	18496
538	21578	18455
539	21616	18413
540	21655	18373
541	21695	18333
542	21735	18293
543	21774	18252
544	21816	18213
545	21858	18175
546	21900	18137
547	21941	18097
548	21978	18054
549	22017	18014
550	22058	17975
551	22098	17934
552	22136	17893
553	22176	17853
554	22221	17817
555	22262	17777
556	22301	17736
557	22340	17696
558	22378	17654
559	22415	17612
560	22455	17572
561	22495	17531
562	22533	17490
563	22575	17451
564	22619	17414
565	22657	17373
566	22696	17332
567	22736	17292
568	22774	17251
569	22820	17215
570	22862	17176
571	22904	17138
572	22947	17100
573	22957	17038
574	22995	16996
575	23035	16957
576	23077	16918
577	23119	16879
578	23164	16843
579	23203	16802
580	23242	16761
581	23281	16720
582	23320	16680
583	23357	16638
584	23394	16596
585	23434	16556
586	23475	16516
587	23513	16475
588	23554	16436
589	23592	16394
590	23630	16353
591	23644	16295
592	23684	16255
593	23724	16215
594	23779	16185
595	23820	16146
596	23862	16107
597	23903	16068
598	23948	16032
599	23992	15994
600	24039	15959
601	24085	15923
602	24123	15882
603	24162	15841
604	24201	15800
605	24239	15759
606	24276	15717
607	24315	15677
608	24354	15636
609	24392	15595
610	24429	15553
611	24468	15512
612	24506	15471
613	24545	15430
614	24584	15390
615	24625	15351
616	24666	15311
617	24705	15271
618	24747	15232
619	24788	15193
620	24828	15152
621	24866	15111
622	24904	15070
623	24943	15030
624	24983	14989
625	25033	14956
626	25071	14915
627	25109	14873
628	25155	14837
629	25195	14797
630	25234	14756
631	25273	14716
632	25313	14676
633	25354	14637
634	25393	14596
635	25433	14556
636	25473	14516
637	25514	14476
638	25554	14437
639	25593	14396
640	25622	14350
641	25661	14309
642	25702	14270
643	25741	14229
644	25779	14188
645	25819	14148
646	25860	14109
647	25871	14053
648	25909	14012
649	25947	13971
650	25986	13931
651	26025	13890
652	26068	13852
653	26079	13797
654	26120	13757
655	26159	13717
656	26199	13677
657	26236	13636
658	26275	13596
659	26313	13555
660	26352	13514
661	26393	13475
662	26429	13434
663	26470	13394
664	26508	13353
665	26552	13316
666	26599	13279
667	26640	13240
668	26682	13201
669	26725	13163
670	26765	13123
671	26803	13082
672	26843	13042
673	26882	13002
674	26920	12961
675	26960	12921
676	26998	12880
677	27035	12839
678	27043	12784
679	27082	12744
680	27121	12704
681	27158	12663
682	27201	12625
683	27245	12586
684	27286	12547
685	27334	12511
686	27375	12472
687	27417	12433
688	27458	12394
689	27496	12353
690	27535	12313
691	27574	12272
692	27612	12232
693	27650	12191
694	27690	12151
695	27730	12112
696	27769	12072
697	27812	12033
698	27853	11994
699	27891	11953
700	27928	11912
701	27966	11871
702	28004	11831
703	28041	11790
704	28080	11750
705	28118	11709
706	28156	11668
707	28194	11628
708	28233	11588
709	28273	11548
710	28312	11508
711	28350	11467
712	28389	11427
713	28429	11387
714	28470	11348
715	28510	11308
716	28553	11270
717	28596	11231
718	28648	11196
719	28690	11157
720	28730	11117
721	28770	11077
722	28810	11037
723	28852	10999
724	28892	10959
725	28934	10920
726	28978	10881
727	29020	10842
728	29062	10803
729	29103	10764
730	29144	10724
731	29183	10684
732	29224	10645
733	29266	10606
734	29312	10568
735	29353	10529
736	29394	10489
737	29437	10450
738	29481	10412
739	29523	10373
740	29566	10334
741	29610	10295
